char;	count;	type,std_chars
冡;	157;	2,冢;蒙
𦝫;	157;	2,腰,4,腰
𪍿;	157;	2,䵃
𦽦;	155;	2,蔓,4,蔓,4,蔓
国;	154;	2,國
𠿒;	153;	2,喝
蕋;	152;	2,蕊
崘;	152;	2,崙
𢪛;	151;	2,牧;抆,4,抆
隲;	150;	2,騭
䆫;	150;	2,窗
椉;	150;	2,乘
㗖;	149;	2,啗
𤼲;	149;	2,發,4,發
𥎞;	149;	4,矛
𦿔;	148;	2,蔽,4,蔽
𢬃;	148;	2,抑,4,抑
䘏;	147;	2,卹
慿;	145;	2,憑
𤀹;	145;	2,濬
馿;	145;	2,驢
䖟;	144;	2,虻
𧿡;	144;	2,跋,4,跋,4,跋
畒;	144;	2,畝
㨗;	143;	2,捷
寉;	142;	2,鶴;隺
聴;	141;	2,聽
賫;	140;	2,齎
𡱁;	139;	2,屎,4,屎
𥬇;	139;	2,笑,4,笑
暜;	139;	2,普,2,替,4,替
𦙘;	139;	2,胝,4,胝
䬸;	138;	2,飧;餐,4,餐
𨵗;	138;	2,闕,4,闕
䰅;	137;	2,鬚
拪;	137;	2,遷
覻;	137;	2,覷
偘;	136;	2,侃;儼
𨽾;	136;	4,隸
㘴;	136;	2,坐
袵;	135;	2,衽,4,衽
𧢻;	134;	2,觸
䕃;	134;	2,蔭
冈;	133;	2,同;岡;罔;网,4,岡
澷;	133;	2,漫
𧜟;	133;	2,裔,4,裔,4,裔
㫋;	133;	2,旃
罗;	132;	2,羅
䘮;	132;	2,喪
𤍜;	132;	2,燥
𨷖;	132;	2,鬥,4,鬬
徴;	131;	2,徵
𣱵;	131;	2,永,4,永
𣏌;	131;	2,杞,2,㭒,4,杞
斈;	130;	2,學
𧴵;	130;	2,貿,4,貿
㖃;	129;	2,吼;詬
𠇲;	126;	2,休,4,休
璝;	126;	2,瑰;𤪿,4,瑰
𨸏;	126;	2,阜,4,阜
帯;	125;	2,帶
樷;	124;	2,叢
𢩁;	123;	2,局;扃,4,局
圅;	123;	2,函
泪;	122;	2,淚
庿;	122;	2,廟,4,廟
𤚲;	121;	2,𤚼
𩮜;	121;	2,剃;N00268
窑;	120;	2,窯
𦙁;	120;	2,胝,4,胝,4,胝
𤰞;	120;	2,卑
𥇒;	120;	2,睫,4,睫
𦬇;	119;	2,茻,4,茻
𠗦;	119;	2,馮
𦽆;	118;	2,孽,4,孽
焭;	118;	2,煢;橩
㩜;	117;	2,攬
滙;	117;	2,匯
𡚁;	115;	2,弊,4,弊
𥪰;	114;	2,競
㪍;	113;	2,勃,4,攵
凟;	113;	2,瀆
讇;	113;	2,諂
僼;	113;	2,㒥
