偏,35545
盛,35494
貴,35389
泉,35387
棄,35268
孔,35218
姓,35200
肉,35176
融,34989
堪,34959
速,34802
巖,34746
注,34740
闍,34578
話,34493
亡,34435
段,34382
連,34252
仙,34155
呵,34011
熏,33811
勞,33781
友,33611
官,33589
泥,33533
鐵,33483
鳥,33374
推,33369
誠,33155
秋,33146
運,33068
客,32979
叉,32976
例,32885
顛,32857
飛,32728
骨,32658
詣,32598
臥,32589
讀,32509
洞,32499
弘,32449
嚩,32430
恭,32340
毗,32317
接,32241
民,32232
飯,32175
付,32143
樓,31835
園,31803
視,31773
再,31752
補,31720
減,31537
尸,31536
導,31440
夏,31339
擇,31230
毀,31222
勢,31156
助,31148
徹,31101
拂,31097
載,31088
熱,31062
勿,30999
希,30991
登,30934
戲,30913
劣,30910
呼,30877
唱,30856
勒,30697
患,30668
講,30664
憶,30517
奇,30411
垂,30353
慶,30334
逆,30271
敢,30259
孤,30203
原,30195
諍,30181
