type,char,frequency
zzs,[榦-木+禾],16
zzs,[(畾/且)*毛],16
zzs,[金*刮],16
zzs,[病-丙+互],16
zzs,[(魅-ㄙ)-未+堯],16
no_gaiji,さ,15
zzs,[宋-木+免],15
zzs,[坦-一+工],15
zzs,[○@(冉-土+└)],15
zzs,[王@?],15
zzs,[甲/?],15
zzs,[凵@(?/?)],15
zzs,[((彰-章)*?)/?],15
no_gaiji,^,15
zzs,[(〣*田)/山/((伒*斤)/一)],15
zzs,[几@((巢-果+一)/(巢-果+一)/山)],15
zzs,[篾-戍+(冗-几+(夕*戈))],15
zzs,[豆*寸],15
zzs,[狂-王+(乂-(必-心))],15
zzs,[容-口+夕],15
zzs,[ㄙ/天],15
zzs,[身*(白-日+(丹-、+十))],15
zzs,[嶙-山+土],15
zzs,[家-?],15
no_gaiji,ズ,15
zzs,[禾*戈],15
zzs,[卄/執/衣],15
zzs,[口*甄],15
zzs,[門@(亞*斤)],15
zzs,[(土*白*土)/几],15
zzs,[怡-台+史],15
zzs,[跳-兆+荼],15
zzs,[毚-、],15
zzs,[辟/王],15
zzs,[(又/木)*ㄆ],15
zzs,[穴/(乏-之+犮)],15
zzs,[示*聶],15
zzs,[券-刀+示],15
zzs,[口*(尸@((貴-貝)/(?/女)))],15
zzs,[袖-由+著],15
zzs,[卄/(麩-夫+玉)],15
zzs,[(千/止)*夬],15
zzs,[軗/足],15
zzs,[彰-章+原],15
zzs,[(甬-用+((巨-匚)@十))*皮],15
zzs,[耳*冗],14
zzs,[怡-台+差],14
zzs,[襄-〦],14
zzs,[狠/心],14
zzs,[殀-大+犬],14
zzs,[〦/(ㄠ-ㄙ+?)],14
zzs,[木*(氏、)],14
zzs,[(甬-用+((巨-匚)@一))*皮],14
zzs,[六/衣],14
zzs,[筋-月+耳],14
zzs,[要/曰],14
zzs,[?/山],14
zzs,[利-禾+(ㄙ/月)],14
zzs,[口*菴],14
zzs,[〦/(ㄠ*言*ㄠ)/十],14
zzs,[○@丙],14
zzs,[式-工+正],14
zzs,[肆-聿+((彰-章)/犬)],14
zzs,[(栽-、)-木+万],14
zzs,[白/兒],14
zzs,[雨/(並-(美-(王/大)))],14
zzs,[序-予+萬],14
zzs,[慕*骨],14
zzs,[虫*束*頁],14
zzs,[澍-士+上],14
zzs,[口*(肄-聿+余)],14
zzs,[細-十+乂],14
zzs,[惱-囟+正],14
zzs,[(生*刀)/大],14
zzs,[蹲-酋+(十/田)],14
zzs,[簃-多+留],14
zzs,[六/隹/(〡*日)],14
zzs,[土*厘],14
zzs,[薜/米],14
no_gaiji,ろ,14
zzs,[日*東],14
zzs,[據-豕+旦],14
zzs,[月*夏],14
zzs,[并*也],14
no_gaiji,め,14
zzs,[古/日/羊],14
zzs,[(厂-一)*臣*巳],14
zzs,[愍-民+牙],14
zzs,[口*陀],14
zzs,[宋-木+貴],14
zzs,[慢-又+(一/力)],14
zzs,[社-土+复],14
zzs,[沱-匕+(尸@貝)],14
no_gaiji,+,14
zzs,[口*氏],14
zzs,[○@三],14
zzs,[口*(乏-之+犮)],14
zzs,[怡-台+(日/工)],14
zzs,[刻-人+ㄑ],13
zzs,[土*亟],13
zzs,[怡-台+處],13
no_gaiji,み,13
no_gaiji,じ,13
zzs,[仁-二+(栽-木+非)],13
zzs,[毀/金],13
zzs,[卄/滲],13
no_gaiji,ま,13
zzs,[又/右],13
zzs,[(口*〡*口)/兀],13
zzs,[(ㄇ@乂)/古],13
zzs,[((夾-(人*人)+(前-刖))*力)/里],13
zzs,[(王/王)*((日*日)/屾)],13
zzs,[王*(黍-禾+利)],13
zzs,[卄/糾],13
zzs,[逽-右+(衣-〦)],13
zzs,[孑*爪],13
zzs,[虢-寸+(百-日+ㄎ)],13
zzs,[阜*責],13
zzs,[(尨-、)*鳥],13
zzs,[攸-ㄆ+熏],13
zzs,[革*亢],13
zzs,[日*弟],13
zzs,[○@己],13
zzs,[怡-台+惡],13
zzs,[蘘-(口*口)],13
zzs,[卄/(〡*臣)],13
zzs,[堂-土+耳],13
zzs,[言*(九/十)],13
no_gaiji,=,13
zzs,[蠃-口+(罩-卓)],13
no_gaiji,へ,13
zzs,[乳-孚+牛],13
zzs,[怡-台+孚],13
zzs,[牛*勾],13
zzs,[序-予+婪],13
zzs,[羊*(弓/一)],13
zzs,[颱-台+夭],13
zzs,[打-丁+(雨/匆)],13
zzs,[阿-可+(俱/寸)],13
zzs,[渫-世+ㄊ],13
zzs,[袖-由+丘],13
zzs,[漓-禸],12
zzs,[穀-禾+(夕*ㄗ)],12
zzs,[死/土],12
zzs,[暘-勿+((傘-(企-止))-┬+(一/ㄎ))],12
zzs,[媟-世+ㄊ],12
zzs,[穀-(一/禾)+(夕*(ㄗ@、))],12
zzs,[仁-二+波],12
zzs,[楎-車+几],12
zzs,[薩/女],12
zzs,[后-口+丁],12
zzs,[牒-世+云],12
zzs,[禾*尤],12
zzs,[木*寺],12
zzs,[土*頁],12
zzs,[月*(土/米)],12
zzs,[(乏-之+虫)*隹],12
zzs,[肄-聿+余],12
zzs,[○@(、/(、*、))],12
zzs,[酉*夕],12
zzs,[扥-(打-丁)+言],12
zzs,[(巨-匚)*(十/十)],12
zzs,[目*隻],12
zzs,[銜-金+工],12
zzs,[招-刀+(美-(王/大))],12
zzs,[□@(?╳)],12
zzs,[仁-二+頡],12
zzs,[尸@支],12
zzs,[鼻-丌+大],12
no_gaiji,わ,12
zzs,[口*頡],12
zzs,[卄/(、廾、、、、)],12
zzs,[一/巿],12
zzs,[打-丁+坒],12
zzs,[弓/心],12
zzs,[秮-口+月],12
zzs,[高*ㄆ],12
