type,char,char_freq
std,欽,9550
std,剃,9548
std,閱,9544
single_vt,疏,9541
std,孰,9519
std,爛,9497
std,穀,9487
std,拾,9475
std,疲,9474
std,旃,9470
std,臭,9462
std,奔,9459
std,朱,9448
std,暴,9437
std,銷,9420
std,宰,9420
std,吽,9403
std,漫,9401
std,嚕,9399
std,杜,9394
std,銘,9357
std,額,9344
std,亭,9331
std,嫉,9330
std,選,9298
std,掩,9273
std,墜,9261
std,訊,9259
std,監,9254
std,鑒,9244
std,蒲,9242
std,憎,9240
std,輝,9228
std,練,9181
std,趺,9162
std,廟,9158
std,彩,9148
std,低,9125
std,驀,9123
std,包,9080
std,函,9078
std,鋒,9074
std,躍,9069
std,匝,9066
single_vt,著,9063
std,馱,9061
std,淵,9044
std,衍,9043
std,範,9035
std,凝,9025
std,伯,9018
std,紛,9006
std,泯,9006
std,均,8991
std,侵,8987
std,浩,8971
std,隋,8949
std,濫,8940
std,驅,8931
std,慎,8923
std,們,8922
single_vt,你,8921
std,克,8920
std,仲,8887
single_vt,疏,8857
std,慰,8844
std,牢,8792
std,靡,8750
std,買,8730
std,環,8728
std,籠,8708
std,混,8707
std,崖,8651
std,芳,8629
std,祭,8623
std,噉,8608
std,荒,8608
std,禍,8601
std,炎,8600
std,排,8595
std,幼,8583
std,藤,8560
std,歇,8525
std,雞,8519
std,罷,8514
std,滴,8513
std,醜,8490
std,檗,8478
std,兔,8471
std,扇,8465
std,謙,8441
std,困,8433
std,肇,8415
std,騎,8410
std,泣,8410
std,區,8400
std,抑,8380
std,競,8379
std,侯,8363
std,罔,8317
std,裟,8314
std,弊,8310
std,檢,8305
std,袈,8286
std,荼,8280
std,揭,8266
std,佉,8218
std,勘,8215
std,盈,8198
std,譏,8176
std,狐,8163
std,尒,8160
std,伎,8151
std,豁,8141
std,屏,8129
std,輸,8119
std,候,8111
std,線,8108
std,斬,8104
std,駕,8098
std,囊,8088
std,陞,8079
std,映,8079
std,讓,8068
std,髻,8065
std,宛,8064
std,戴,8043
single_vt,斷,8035
std,歟,8035
std,乏,8030
std,哭,8015
std,秪,7989
std,研,7977
std,伐,7976
std,飽,7975
std,曜,7970
std,攀,7959
std,膝,7956
std,完,7955
std,侶,7953
std,獅,7939
std,譽,7915
std,伸,7907
std,產,7865
std,擾,7863
std,抄,7860
std,咄,7835
std,郭,7830
std,費,7819
std,柳,7818
std,亮,7802
std,覽,7799
std,乙,7798
std,糧,7792
std,廓,7758
std,冤,7754
std,倦,7742
std,莖,7737
std,創,7732
std,竝,7729
std,胸,7718
std,整,7714
std,策,7704
std,裂,7685
std,蹤,7677
std,琉,7677
std,綿,7662
std,豫,7659
std,茫,7658
std,派,7657
std,隻,7646
std,坑,7643
std,粥,7641
std,庚,7632
std,幡,7630
std,旁,7623
std,岳,7614
std,隣,7605
std,桃,7590
std,祈,7588
std,誨,7585
std,胝,7585
std,採,7581
std,鳩,7581
std,墨,7574
std,針,7560
std,算,7554
std,束,7547
std,瑟,7543
std,誕,7523
std,晨,7503
std,贈,7499
std,巍,7493
std,躬,7485
std,竊,7474
std,葛,7472
std,析,7457
std,翳,7449
single_vt,乘,7443
std,牧,7426
std,庫,7424
std,添,7390
std,鮮,7387
std,淳,7386
std,渾,7377
std,賞,7352
std,擁,7351
std,翼,7348
std,秉,7337
std,吟,7335
std,輒,7330
std,碑,7324
std,肅,7321
std,綠,7303
std,戀,7298
std,鬪,7296
std,森,7278
std,層,7273
std,薪,7271
std,丑,7257
std,咎,7246
std,勉,7244
std,魯,7224
std,社,7208
std,錦,7207
std,踊,7195
std,奮,7183
std,晦,7157
std,酥,7142
std,暢,7119
std,嗟,7115
std,溺,7101
std,鄭,7099
std,植,7080
std,匿,7079
std,換,7077
std,健,7065
std,程,7058
std,鍾,7040
std,緊,7037
std,屍,7034
std,冰,7031
std,撫,7028
std,揮,7027
single_vt,蓋,6999
std,拍,6991
std,壬,6988
std,睺,6977
std,趨,6952
std,恰,6936
std,裡,6927
std,弓,6919
std,瘡,6919
std,街,6910
std,諱,6906
std,寅,6901
std,淚,6875
std,莎,6873
std,誘,6870
std,探,6869
std,跪,6869
std,丙,6856
std,殷,6842
std,岐,6841
std,挂,6839
std,疊,6837
std,逃,6834
std,孟,6810
std,訛,6809
std,踰,6788
std,迅,6764
std,罰,6754
std,臾,6748
std,埋,6742
std,杭,6737
std,鉤,6719
std,栴,6702
std,跳,6694
std,畔,6691
std,纖,6691
